Year,Drawdowns (Bn EUR),Repayments (Bn EUR),Cumulative Drawdowns (Bn EUR),Cumulative Repayments (Bn EUR)
2025,0.0,0.0,0.0,0.0
2026,0.019756923857735243,0.0,0.019756923857735243,0.0
2027,0.12184136188138225,0.0032195226843514248,0.1415982857391175,0.0032195226843514248
2028,0.19218183795719326,0.013121193097465636,0.33378012369631077,0.01634071578181706
2029,0.25106533815232307,0.029506890547930213,0.5848454618486338,0.04584760632974728
2030,0.26643791869346267,0.05139285852682397,0.8512833805420966,0.09724046485657126
2031,0.21429796487818195,0.07638013490904132,1.0655813454202785,0.17362059976561256
2032,0.1544832571340419,0.11216138245561476,1.2200646025543203,0.28578198222122736
2033,0.08688567055760262,0.14262655363960386,1.306950273111923,0.4284085358608312
2034,0.04668343762193289,0.14784011872433672,1.3536337107338559,0.5762486545851678
2035,0.019203799612865193,0.13667445983482843,1.3728375103467212,0.7129231144199962
2036,0.005623488165725168,0.1207000048447276,1.3784609985124463,0.8336231192647239
2037,0.0027155581580585544,0.10323707801320317,1.381176556670505,0.936860197277927
2038,0.0014933149727224726,0.091245723048031,1.3826698716432275,1.028105920325958
2039,0.0008593897417909329,0.0699492956105759,1.3835292613850185,1.098055215936534
2040,0.0004789840826531189,0.04576757730212683,1.3840082454676716,1.1438227932386609
2041,0.00018973643136430655,0.018241993322863696,1.384197981899036,1.1620647865615243
2042,4.299833754380988e-05,0.00394597151246514,1.3842409802365796,1.1660107580739896
